label,auto_match_threshold,review_floor,pct_auto,pct_review,pct_reject,auto_n,auto_tp,auto_fp,auto_precision,review_n,review_tp,review_fp,review_true_match_prevalence,reject_n,reject_tp_ceiling_loss,resolved_rate,ceiling_loss_rate,total_true_matches
Current (Step 7),0.995,0.015,0.0972,0.1248,99.778,243,243,0,1.0,312,7,305,0.022435897435897436,249445,0,1.0,0.0,250
Auto-match threshold 0.99,0.99,0.015,0.0988,0.1232,99.778,247,245,2,0.9919028340080972,308,5,303,0.016233766233766232,249445,0,1.0,0.0,250
Auto-match threshold 0.9,0.9,0.015,0.10319999999999999,0.1188,99.778,258,248,10,0.9612403100775194,297,2,295,0.006734006734006734,249445,0,1.0,0.0,250
Auto-match threshold 0.5,0.5,0.015,0.108,0.11399999999999999,99.778,270,248,22,0.9185185185185185,285,2,283,0.007017543859649123,249445,0,1.0,0.0,250
Review floor raised to 0.05,0.995,0.05,0.0972,0.0368,99.866,243,243,0,1.0,92,6,86,0.06521739130434782,249665,1,0.996,0.004,250
Review floor raised to 0.1,0.995,0.1,0.0972,0.029599999999999998,99.8732,243,243,0,1.0,74,5,69,0.06756756756756757,249683,2,0.992,0.008,250
Review floor raised to 0.5,0.995,0.5,0.0972,0.010799999999999999,99.892,243,243,0,1.0,27,5,22,0.18518518518518517,249730,2,0.992,0.008,250
