threshold,precision,recall
1.158572255183274e-10,0.001,1.0
2.3462220436612727e-10,0.002888170055452865,1.0
3.4603424508337084e-10,0.003603136169722126,1.0
7.007531639503118e-10,0.007593245049204228,1.0
3.335390225299282e-09,0.008589884551951622,1.0
3.927717584172585e-09,0.013356841374151841,1.0
6.75449115061416e-09,0.016141528925619833,1.0
7.954011931517307e-09,0.0184243496204584,1.0
1.1199587134447612e-08,0.018801233360908477,1.0
1.171628556660597e-08,0.023467567821271004,1.0
1.1731031644910264e-08,0.03631082062454612,1.0
2.073464793640214e-08,0.040466170281644544,1.0
2.268025822181963e-08,0.04256768261535842,1.0
2.3726623019265487e-08,0.04478681476173414,1.0
2.375648526824722e-08,0.04812319538017324,1.0
3.3450141556879337e-08,0.04869497467861317,1.0
4.198968757456342e-08,0.05553087516659263,1.0
6.77398034101407e-08,0.05596597268860533,1.0
1.130742549002207e-07,0.05690871841566128,1.0
1.2516396296132005e-07,0.06062075654704171,1.0
1.877454279910102e-07,0.06260956674179814,1.0
2.2898639037047468e-07,0.06375924509053812,1.0
2.5346922474147506e-07,0.06418485237483953,1.0
2.8161811555025854e-07,0.06453278265358803,1.0
3.003926509472082e-07,0.06666666666666667,1.0
3.224225488141761e-07,0.06725854183481302,1.0
3.4660688892090766e-07,0.07070135746606335,1.0
3.738308636440064e-07,0.07118451025056947,1.0
3.754907854853421e-07,0.07194244604316546,1.0
3.796811039212911e-07,0.07309941520467836,1.0
3.8020276685785046e-07,0.07431629013079667,1.0
3.971978706678842e-07,0.07460459564309162,1.0
4.0021481113634874e-07,0.07649938800489596,1.0
4.505889087440139e-07,0.07926442612555486,1.0
4.749618702027015e-07,0.08028259473346179,1.0
4.822812914760426e-07,0.08218277449046679,1.0
5.006543179834285e-07,0.08744316194473592,1.0
5.6074468324806e-07,0.08781173164734808,1.0
5.632360724830356e-07,0.08855827134254339,1.0
5.703040418711883e-07,0.09064539521392313,1.0
6.436983167585961e-07,0.09100837277029487,1.0
6.529369558789564e-07,0.09245562130177515,1.0
6.89787368476413e-07,0.09366804046459348,1.0
7.019125745406369e-07,0.11353315168029064,1.0
7.029323004193549e-07,0.11373976342129208,1.0
7.509812889841303e-07,0.11399908800729594,1.0
7.570437432368245e-07,0.1168770453482936,1.0
7.604052446075231e-07,0.11726078799249531,1.0
7.688910423908078e-07,0.11753643629525153,1.0
8.043641787151829e-07,0.11775788977861516,1.0
8.104737730150844e-07,0.1182033096926714,1.0
8.411167890462062e-07,0.11893434823977164,1.0
8.97191191339782e-07,0.12065637065637065,1.0
9.011774114274814e-07,0.1211827435773146,1.0
9.618437368495142e-07,0.124750499001996,1.0
9.766662657097378e-07,0.12512512512512514,1.0
1.0352204625011824e-06,0.12683916793505834,1.0
1.1214887376272733e-06,0.127420998980632,1.0
1.1264715104966818e-06,0.1282051282051282,1.0
1.1325786103178636e-06,0.13089005235602094,1.0
1.1340040684150891e-06,0.1350621285791464,1.0
1.1355621323783557e-06,0.13631406761177753,1.0
1.1406074332493473e-06,0.13646288209606988,1.0
1.1953326116753744e-06,0.1366867140513942,1.0
1.303551139879237e-06,0.13804527885146328,1.0
1.3457861832959184e-06,0.13912075681691707,1.0
1.3968858463037336e-06,0.13950892857142858,1.0
1.4185815033517247e-06,0.14392630972941853,1.0
1.495317757842356e-06,0.14467592592592593,1.0
1.501961450023315e-06,0.1447596988998263,1.0
1.5208093327836532e-06,0.14705882352941177,1.0
1.6822321631386968e-06,0.14723203769140164,1.0
1.7033422314420655e-06,0.14827995255041518,1.0
1.8249706442539063e-06,0.14836795252225518,1.0
